axis1,axis2,axis3,axis4,axis5
155.1421,244.2998,240.9264,26.55407,165.1644
155.1421,244.2998,240.9264,26.55407,165.1644
155.2696,244.6205,242.0794,19.57168,161.2013
155.2696,244.6205,242.0794,19.57168,161.2013
155.4293,244.9458,243.1184,12.66396,157.6962
155.4293,244.9458,243.1184,12.66396,157.6962
155.6445,245.3071,244.0822,6.009611,154.6254
155.6445,245.3071,244.0822,6.009611,154.6254
155.2115,245.2593,244.9958,5.168411,156.3289
155.2115,245.2593,244.9958,5.168411,156.3289
154.6296,245.006,246.0665,3.987736,157.5071
154.6296,245.006,246.0665,3.987736,157.5071
154.6296,245.006,246.0665,3.987736,157.5071
154.0124,244.6768,247.0338,3.195036,158.5844
154.0124,244.6768,247.0338,3.195036,158.5844
153.4736,244.3862,247.8079,3.579934,159.9544
153.4736,244.3862,247.8079,3.579934,159.9544
153.4736,244.3862,247.8079,3.579934,159.9544
153.1008,244.2094,248.3353,5.330256,161.6018
153.1008,244.2094,248.3353,5.330256,161.6018
153.1008,244.2094,248.3353,5.330256,161.6018
153.015,244.2838,248.8394,10.86166,166.4603
153.015,244.2838,248.8394,10.86166,166.4603
153.1315,244.4514,249.1396,18.57767,173.6834
153.1315,244.4514,249.1396,18.57767,173.6834
153.1315,244.4514,249.1396,18.57767,173.6834
153.3843,244.6141,249.1365,27.47192,182.4244
153.3843,244.6141,249.1365,27.47192,182.4244
153.6434,244.6931,248.8072,36.84972,191.9455
153.6434,244.6931,248.8072,36.84972,191.9455
153.7866,244.636,248.2175,46.30101,201.686
153.7866,244.636,248.2175,46.30101,201.686
153.7866,244.636,248.2175,46.30101,201.686
153.7866,244.636,248.2175,46.30101,201.686
153.8139,244.3663,247.1902,53.78992,209.5385
153.8139,244.3663,247.1902,53.78992,209.5385
153.8139,244.3663,247.1902,53.78992,209.5385
153.6225,243.9682,246.3368,61.38834,217.176
153.6225,243.9682,246.3368,61.38834,217.176
153.6225,243.9682,246.3368,61.38834,217.176
153.1786,243.4556,245.5923,69.13259,224.7826
153.1786,243.4556,245.5923,69.13259,224.7826
153.1786,243.4556,245.5923,69.13259,224.7826
153.1786,243.4556,245.5923,69.13259,224.7826
152.561,242.8417,244.8672,76.94981,232.491
152.561,242.8417,244.8672,76.94981,232.491
152.561,242.8417,244.8672,76.94981,232.491
151.8336,242.1387,244.1125,84.85441,240.4437
151.8336,242.1387,244.1125,84.85441,240.4437
151.8336,242.1387,244.1125,84.85441,240.4437
150.9986,241.4896,244.1025,85.93204,241.8112
150.2208,240.9393,244.1605,86.64316,242.8231
150.2208,240.9393,244.1605,86.64316,242.8231
149.6394,240.4942,244.137,86.88766,243.2367
149.6394,240.4942,244.137,86.88766,243.2367
149.6394,240.4942,244.137,86.88766,243.2367
149.2532,240.1438,243.9992,86.57739,242.9086
149.2532,240.1438,243.9992,86.57739,242.9086
149.2532,240.1438,243.9992,86.57739,242.9086
149,239.8637,243.7545,85.87584,242.0048
149,239.8637,243.7545,85.87584,242.0048
149,239.8637,243.7545,85.87584,242.0048
149,239.8637,243.7545,85.87584,242.0048
149,239.8637,243.7545,85.87584,242.0048
149.6248,240.0862,242.5268,92.68793,246.573
149.6248,240.0862,242.5268,92.68793,246.573
149.6248,240.0862,242.5268,92.68793,246.573
149.6248,240.0862,242.5268,92.68793,246.573
149.6248,240.0862,242.5268,92.68793,246.573
150.3615,240.4467,241.0233,98.64063,249.4549
150.3615,240.4467,241.0233,98.64063,249.4549
150.3615,240.4467,241.0233,98.64063,249.4549
150.3615,240.4467,241.0233,98.64063,249.4549
151.0213,240.8381,239.6736,103.946,251.2803
151.0213,240.8381,239.6736,103.946,251.2803
151.0213,240.8381,239.6736,103.946,251.2803
151.0213,240.8381,239.6736,103.946,251.2803
151.0213,240.8381,239.6736,103.946,251.2803
151.5497,241.1979,238.5311,108.7485,252.5999
151.5497,241.1979,238.5311,108.7485,252.5999
151.5497,241.1979,238.5311,108.7485,252.5999
151.5497,241.1979,238.5311,108.7485,252.5999
151.9484,241.4984,237.6035,113.0145,253.6226
151.9484,241.4984,237.6035,113.0145,253.6226
151.9484,241.4984,237.6035,113.0145,253.6226
151.9484,241.4984,237.6035,113.0145,253.6226
151.9484,241.4984,237.6035,113.0145,253.6226
151.7085,241.3501,236.659,117.4366,255.4968
151.7085,241.3501,236.659,117.4366,255.4968
151.7085,241.3501,236.659,117.4366,255.4968
151.7085,241.3501,236.659,117.4366,255.4968
151.7085,241.3501,236.659,117.4366,255.4968
151.7085,241.3501,236.659,117.4366,255.4968
151.2671,240.924,236.0524,122.5607,258.7629
151.2671,240.924,236.0524,122.5607,258.7629
151.2671,240.924,236.0524,122.5607,258.7629
151.2671,240.924,236.0524,122.5607,258.7629
151.2671,240.924,236.0524,122.5607,258.7629
151.2671,240.924,236.0524,122.5607,258.7629
150.5934,240.2651,235.6344,128.025,263.091
